Month,Weight_loss,FORECAST,STD,L95,U95,RESIDUAL
01FEB17,90,86.834202838,3.0078909592,80.938844888,92.729560787,3.1657971622
01MAR17,88,89.826318334,3.0078909592,83.930960385,95.721676284,-1.826318334
01APR17,84,90.998209217,3.0078909592,85.102851267,96.893567166,-6.998209217
01MAY17,84,83.822260638,3.0078909592,77.926902689,89.717618588,0.1777393619
01JUN17,82,80.273103723,3.0078909592,74.377745773,86.168461672,1.7268962771
01JUL17,84,83.178005143,3.0078909592,77.282647194,89.073363093,0.8219948568
01AUG17,78,80.234372495,3.0078909592,74.339014546,86.129730445,-2.234372495
01SEP17,73,73.739275333,3.0078909592,67.843917384,79.634633283,-0.739275333
01OCT17,73,69.600187281,3.0078909592,63.704829332,75.495545231,3.3998127186
01NOV17,70,70.463706732,3.0078909592,64.568348783,76.359064681,-0.463706732
01DEC17,62,62.965954149,3.0078909592,57.070596199,68.861312098,-0.965954149
01JAN18,90,89.398500026,3.0078909592,83.503142077,95.293857976,0.6014999735
01FEB18,80,84.021424508,3.0078909592,78.126066559,89.916782458,-4.021424508
01MAR18,81,80.17816649,3.0078909592,74.282808541,86.07352444,0.8218335099
01APR18,82,81.155329531,3.0078909592,75.259971582,87.050687481,0.8446704688
01MAY18,80,80.021596758,3.0078909592,74.126238808,85.916954707,-0.021596758
01JUN18,77,77.237218769,3.0078909592,71.341860819,83.132576718,-0.237218769
01JUL18,80,79.236922615,3.0078909592,73.341564665,85.132280564,0.7630773852
01AUG18,76,75.475192959,3.0078909592,69.57983501,81.370550909,0.5248070406
01SEP18,70,69.541663309,3.0078909592,63.646305359,75.437021258,0.4583366913
01OCT18,67,68.00206046,3.0078909592,62.10670251,73.897418409,-1.00206046
01NOV18,63,65.907927102,3.0078909592,60.012569153,71.803285052,-2.907927102
01DEC18,62,56.563807609,3.0078909592,50.66844966,62.459165558,5.436192391
01JAN19,,87.137067037,3.0078909592,81.241709088,93.032424986,
01FEB19,,79.655504231,3.6101038056,72.579830791,86.73117767,
01MAR19,,80.427359797,4.1253231331,72.341875031,88.512844562,
01APR19,,80.506969453,4.582982917,71.524487994,89.489450912,
01MAY19,,78.537346934,4.998917271,68.739649121,88.335044747,
01JUN19,,75.831461925,5.3828073854,65.281353314,86.381570536,
01JUL19,,77.332910288,5.7410849857,66.080590484,88.585230092,
01AUG19,,73.79647995,6.0782808653,61.883268366,85.709691534,
01SEP19,,68.341015383,6.3977292646,55.801696442,80.880334325,
